"path_3"	"UCS_0001_BAL"	"UCS_0002_BAL"	"UCS_0002_UA"	"UCS_0004_BAL"	"UCS_0005_BAL"	"UCS_0006_BAL"	"UCS_0007_BAL"	"UCS_0007_UA"	"UCS_0009_BAL"	"UCS_0009_UA"	"UCS_0010_BAL"	"UCS_0010_UA"	"UCS_0013_BAL"	"UCS_0013_UA"	"UCS_0014_BAL"	"UCS_0014_UA"	"UCS_0015_BAL"	"UCS_0015_UA"	"UCS_0016_BAL"	"UCS_0016_UA"	"UCS_0017_BAL"	"UCS_0018_BAL"	"UCS_0018_UA"	"UCS_0019_BAL"	"UCS_0020_BAL"	"UCS_0021_BAL"	"UCS_0021_UA"	"UCS_0022_BAL"	"UCS_0022_UA"	"UCS_0023_BAL"	"UCS_0023_UA"	"UCS_0025_BAL"	"UCS_0025_UA"	"UCS_0028_BAL"	"UCS_0028_UA"	"UCS_0029_BAL"	"UCS_0030_BAL"	"UCS_0030_UA"	"UCS_0031_BAL"	"UCS_0032_BAL"	"UCS_0032_UA"	"UCS_0033_BAL"	"UCS_0034_BAL"	"UCS_0035_BAL"	"UCS_0036_BAL"	"UCS_0037_BAL"	"UCS_0038_BAL"	"UCS_0038_UA"	"UCS_0039_BAL"	"UCS_0039_UA"	"UCS_0040_BAL"	"UCS_0040_BKG"	"UCS_0041_BAL"	"UCS_0041_UA"	"UCS_0042_BAL"	"UCS_0042_UA"	"UCS_0043_BAL"	"UCS_0043_UA"	"UCS_0044_BAL"	"UCS_0045_BAL"	"UCS_0046_BAL"	"UCS_0046_UA"	"UCS_0047_BAL"	"UCS_0048_BAL"	"UCS_0048_UA"	"UCS_0049_BAL"	"UCS_0050_BAL"	"UCS_0050_UA"	"UCS_0051_BAL"	"UCS_0051_UA"	"UCS_0052_BAL"	"UCS_0053_BAL"	"UCS_0053_UA"	"UCS_0054_BAL"	"UCS_0054_UA"	"UCS_0055_BAL"	"UCS_0055_UA"	"UCS_0056_BAL"	"UCS_0057_BAL"	"UCS_0057_UA"	"UCS_0058_BAL"	"UCS_0058_UA"	"UCS_0059_BAL"	"UCS_0060_BAL"	"UCS_0060_UA"	"UCS_0061_BAL"	"UCS_0061_UA"	"UCS_0062_BAL"	"UCS_0063_BAL"	"UCS_0063_UA"	"UCS_0064_BAL"	"UCS_0065_BAL"	"UCS_0066_BAL"	"UCS_0069_BAL"	"UCS_0069_BKG"	"UCS_0070_BAL"	"UCS_0070_BKG"	"UCS_0071_BAL"	"UCS_0072_BAL"	"UCS_0073_BAL"	"UCS_0073_UA"	"UCS_0074_BAL"	"UCS_0074_UA"	"UCS_0075_BAL"	"UCS_0076_BAL"	"UCS_0077_BAL"	"UCS_0077_UA"	"UCS_0079_BAL"	"UCS_0079_UA"	"UCS_0080_BAL"	"UCS_0081_BAL"	"UCS_0082_BAL"	"UCS_0083_BAL"	"UCS_0083_UA"	"UCS_0085_BAL"	"UCS_0085_BKG"	"UCS_0087_BAL"	"UCS_0088_BAL"	"UCS_0088_UA"	"UCS_0090_BAL"	"UCS_0093_BAL"	"UCS_0093_UA"	"UCS_0094_BAL"	"UCS_0094_UA"	"UCS_0095_BAL"	"UCS_0096_BAL"	"UCS_0096_UA"	"UCS_0097_BAL"	"UCS_0097_UA"	"UCS_0098_BAL"	"UCS_0099_BAL"	"UCS_0099_UA"	"UCS_0100_BAL"	"UCS_0101_BAL"	"UCS_0101_UA"	"UCS_0103_BAL"	"UCS_0106_BAL"	"UCS_0106_UA"	"UCS_0109_BAL"	"UCS_0114_BAL"	"UCS_0115_BAL"	"UCS_0116_BAL"	"UCS_0118_BAL"	"UCS_0123_BAL"	"UCS_0128_BAL"	"UCS_0130_BAL"	"UCS_0130_UA"	"UCS_0134_UA"	"UCS_0136_BKG"	"UCS_0138_BAL"	"UCS_0144_BAL"	"UCS_0147_BAL"	"UCS_0148_BAL"	"UCS_0148_UA"	"UCS_0151_BAL"	"UCS_0153_BAL"	"UCS_0153_UA"	"UCS_0154_BAL"	"UCS_0154_UA"	"UCS_0156_BAL"	"UCS_0156_UA"	"UCS_0158_BAL"	"UCS_0158_UA"	"UCS_0159_BAL"	"UCS_0159_UA"	"UCS_0160_BAL"	"UCS_0163_BAL"	"UCS_0164_BAL"	"UCS_0164_UA"	"UCS_0167_UA"	"UCS_0168_BAL"	"UCS_0170_BAL"	"UCS_0170_UA"	"UCS_0171_BAL"	"UCS_0172_UA"	"UCS_0174_BAL"	"UCS_0174_UA"	"UCS_0175_BAL"	"UCS_0175_UA"	"UCS_0176_BAL"	"UCS_0177_BAL"	"UCS_0177_UA"	"UCS_0180_BAL"	"UCS_0182_UA"	"UCS_0185_BAL"	"UCS_0185_UA"	"UCS_0190_BAL"	"UCS_0191_BAL"	"UCS_0191_UA"	"UCS_0192_BAL"	"UCS_0192_UA"	"UCS_0194_BAL"
"Ribosome"	1697	6808	997927	6395	27788	592524	30344	886427	2057	465793	5673	1058625	77476	151964	3073	247479	12055	115687	22879	1063427	2811	88064	898946	429	933	231	503114	3156	150716	23577	87848	73443	312164	15185	485116	16694	782671	54944	280	34051	72250	2054	14456	14815	81377	434	26235	131666	1107	1358663	4872	101613	10605	1254766	8340	620822	16488	436605	10580	1332	4331	456246	1556	54982	4388395	973	17578	428003	969	2028351	944	894618	239873	94822	430232	710	86287	3006	677	321742	8695	3447877	4154	18161	223222	60438	572957	54646	39456	334969	56378	763	5520	31414	43850	5764	675296	331	2655	1824	1087566	1330	1000855	36312	1927	13019	5131008	2826	1578317	2719	568	510	2694	234385	47501	19209	7158	18385	609104	489	68487	6692275	1149	2687525	3892	210606	3447994	2724	697363	634	6261	4357289	2913	1083	209190	746	403196	2811235	2032248	36511	22376	166897	236685	4930	70056	217852	578455	37361622	95397	1236078	31287	1337	31555	2075357	27998	6175	411468	699804	6697962	21498	83005	14473012	13402418	10222	1249375	26391	16695	144592	146509	425379	10916	15258	418872	4710	900482	2799526	115162	33615	1494998	40611	314513	509386	46095	618077	24440	336318	1461	914	138530	3738	426625	6693
"Ribosome biogenesis"	3718	9083	3037012	3966	73682	616240	121535	2915618	3028	913796	7056	622125	117143	190036	10867	379851	22233	128501	24880	1762473	2503	209400	2058062	701	1212	308	462682	2207	175787	32329	135687	137982	737383	18059	703361	11834	332580	30959	549	86578	127199	4523	17172	15531	54971	579	34030	166983	2047	1702888	3326	163727	21683	1900570	8052	770305	24439	1002015	4687	2501	6564	1156717	2499	73564	8652143	3082	32191	560261	620	4812284	5345	685876	197774	47183	711443	1236	149791	6856	1838	1139296	24161	11316122	3044	9654	147085	58718	639665	83614	94836	554979	41416	960	5142	48221	83312	7127	1143150	670	1371	2343	1898514	2077	2114143	111674	8986	21847	7025067	4249	6025122	1947	1240	1075	3185	615753	56276	48209	5411	27127	589047	1190	178114	27424357	4493	5423938	5540	972633	11204555	10258	2040606	961	19419	13528759	2085	3085	506997	1168	398391	2971128	8894337	113856	38678	396379	92647	18901	119555	165281	629987	83948690	77773	2099281	188395	1738	48792	3085779	22086	31305	809778	1010088	10831373	50463	126451	41961492	34633595	31542	3507318	33696	23043	132369	215869	584348	43873	44417	437159	14392	698770	3881836	138821	103677	2345471	32866	415888	459236	333168	426299	42234	919256	1287	1340	263425	8593	980488	9027
"Ribosome biogenesis in eukaryotes"	1325	1839	417659	401	14412	66915	12324	481496	663	261193	1060	127930	39793	62430	2880	18426	7836	25206	5041	436957	641	40473	398275	136	303	73	55916	238	17118	8357	20615	27494	167362	4811	176489	1893	62636	10219	115	27479	31503	1095	2262	4492	5538	102	12097	49663	632	379935	888	70049	5424	522706	1333	106777	5480	220051	1223	729	749	209367	224	21241	2199332	615	10036	180985	130	1466491	692	197333	59453	7020	94836	180	8700	1232	296	163511	4907	2446318	620	2490	20417	9325	83267	18345	29250	89452	4024	238	649	2884	13618	1237	69847	296	246	914	453766	473	561667	3111	332	5124	2295316	1119	1540445	280	259	225	750	111042	7114	8567	723	9438	173857	226	45930	7415079	429	1337195	1015	148803	2007385	1609	481638	135	3479	4485769	361	541	40953	219	84261	765142	1787815	49001	4854	175997	12447	3455	23374	59675	316195	21397131	20900	278808	3389	184	3160	240630	3190	3867	248192	143122	1859107	7428	17140	13260453	10848972	5503	398817	4692	3084	44248	65353	196527	1121	17267	85460	1942	172988	883038	23277	16619	334291	5222	69422	114105	36341	69407	9822	197714	248	209	53802	1345	180681	1637
"rifA"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	501	0	0	0	178	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Rifamycin resistance genes"	0	15	10260	0	95	1	1205	55121	14	11124	21	213	165	424	100	193	7	2	33	14324	17	28	18423	6	20	0	2521	7	151	50	0	485	4297	447	10103	36	41	2	6	301	99	78	61	15	4	1	37	425	11	21984	31	33	586	49044	26	1139	7	60	9	26	9	6588	16	948	137591	2	4	248	0	32648	26	136	124	8	1779	19	50	119	29	12189	378	278517	5	20	2	11	1025	28	494	2590	17	14	6	16	0	16	46	2	12	3	19624	1	16215	26	15	7	1942	270	89699	0	14	14	23	7729	383	1	187	5	1093	8	18316	2495237	9	69591	12	24524	190752	157	57819	2	229	274834	2	10	372	3	437	4208	38419	1194	9	376	12	127	836	2	0	3097	1	147966	6	0	2	37	2	62	4753	2868	89064	317	259	927951	531295	93	12803	358	0	8	1268	742	17	9	1410	14	1131	826	561	622	4551	6	2639	2479	543	0	903	15759	18	8	3239	213	15429	29
"RIG-I-like receptor signaling pathway"	0	5	2843	6	0	1275	1	5	12	375	0	10	300	678	0	23	7	328	30	1917	0	6	4024	1	0	0	1472	62	375	642	4214	33	161	2	360	23	568	0	0	24	9	2	23	26	242	1	132	508	0	92	0	1	2	0	152	5676	2	4	1	4	0	549	0	6	763	1	1	279	0	2	2	2951	679	686	1034	0	131	16	2	4	0	514	26	2	173	566	2439	2	115	38	140	0	29	12	0	31	8	0	4	0	632	13	2	11	0	0	0	0	0	9	0	0	3	0	4	0	0	16	897	1	44	0	0	0	2	0	0	0	0	0	0	158	0	0	716	0	421	3518	6671	1	0	0	11	8	182	5	63	6847	2	0	34	1	1481	12009	0	29	342	920	5724	16	181	0	1	14	6535	6	0	1	0	457	2	551	599	0	4051	5589	542	2	2852	10	354	632	0	9848	0	7	0	3	0	0	1055	28
"RIO family"	0	0	6	0	6	0	0	0	0	0	33	4	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3680	70	2	0	0	0	0	0	0	0	0	0	0	6	2	1610	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	1	569	13	0	0	0	93	0	73	54	0	0	21	0	0	0	0	12	0	22	0	951	0	0	2	0	1	0	16	0	1	0	0	16	0	2	0	0	54	40	0	4	0	0	1	2	0	0	0	0	2	0	15	0	0	0	0	1	0	0	0	0	0	0	18	11	0	8	8	2	0	0	0	0	64	0	4	0	0	10	2	0	0	3	9	0	3	0	0	0	2	40	2	0	0	2	1	0	0	0	0	0	18	43	2	0	0	115	0	2	0	6	4	0	0	0	0
"RNA degradation"	1823	2957	703011	1135	37543	105625	33650	762002	815	310347	3211	434302	55852	103901	3555	115174	8047	61363	15363	696842	1404	135470	767498	278	410	165	265063	544	68942	22109	53510	38413	267521	9538	297990	3114	337474	23671	190	41047	52484	2216	4465	8255	10203	214	17764	79057	979	1124519	1219	58187	11013	993663	2557	167659	13697	543648	2999	1163	2058	409906	658	41202	3426822	593	17210	247449	238	1651522	1082	342883	85744	9386	331541	388	83558	1742	479	323419	7641	3134638	741	11801	180810	16389	206464	56109	26644	211517	5805	423	4047	12045	14614	3244	173252	220	673	1022	901957	1489	939042	80532	5130	12341	5110737	1154	1885529	508	473	392	1844	264997	42031	12882	2285	17728	283364	308	49220	7993254	1689	1909126	3388	167036	3151458	3868	661669	370	6580	4382693	2416	2257	90431	622	386553	1923103	1455286	47753	3250	99785	229168	6850	41782	174479	413134	42637571	38496	496530	19151	181	14766	432745	4248	7082	256101	394718	3239558	10140	63218	17022608	7045286	6383	491414	5532	3134	49080	65698	292669	34459	14223	243357	8090	369249	2397625	54046	46497	657993	21704	224028	289624	247335	149031	14109	216281	540	630	94271	1469	370458	5387
"RNA polymerase"	795	1026	282369	365	4620	61645	4875	274226	154	34106	955	94324	11368	13289	406	29655	2013	22398	2177	151448	105	15468	170081	41	91	19	66622	309	20455	6441	22823	7073	52098	1941	61372	2320	60884	3972	27	13609	8989	163	1707	3798	5678	77	4343	14625	127	86398	428	13435	4713	50590	457	68742	2268	69392	315	444	754	66113	163	19756	592629	95	6084	41214	111	230040	98	137123	17010	3805	19701	41	9983	214	113	77613	918	243337	271	3075	38394	5973	43540	10096	8298	35274	3308	70	2227	678	4938	416	22168	113	134	189	116991	709	70985	2334	113	932	537800	764	710769	56	158	70	178	23343	6157	1259	425	4940	72626	37	6622	877396	77	158797	415	33960	488521	434	152230	68	668	371742	405	220	28342	102	78615	344156	207456	20562	4171	13845	22397	1706	11961	43711	50393	2596728	7890	15783	2218	38	933	152068	2217	222	30178	89841	630307	5719	8321	2126402	564658	2896	152245	2285	918	991	7976	41900	581	49229	43336	12200	157483	523031	12892	30404	198008	4607	89516	75271	12326	43492	3613	37281	72	30	15376	332	46743	1255
"RNA polymerase I system"	480	1440	393660	73	3582	11375	14364	471431	258	40711	808	60148	9884	12291	351	16156	1817	17486	2387	192752	145	34520	296543	54	147	22	50861	260	15495	5699	20229	16460	74178	1982	61899	1983	45071	3266	40	16939	11137	143	793	3019	1763	46	3299	13782	185	153047	639	6297	5139	128156	343	43704	2501	102848	294	360	726	111133	112	19573	830810	609	5285	55215	76	221271	192	113958	20031	1243	29045	87	8636	428	177	110699	3398	1997718	178	2493	24150	3364	24831	8163	7657	33452	2295	96	2106	360	3084	512	9826	65	134	185	185485	738	155848	1575	121	1327	681084	1096	821251	70	134	94	266	62918	4612	2469	327	4021	60451	66	22934	4706351	463	341791	257	122220	983832	437	186286	51	2027	1174771	226	102	24871	84	57831	178827	777666	24526	2226	15391	11111	1849	22334	30764	32352	6085103	2090	210010	3442	27	959	90574	2696	3662	69640	73153	688795	5949	3414	2891171	3778994	4313	245968	623	978	578	9799	46263	533	46995	32777	2609	131928	341688	9066	29106	179930	4521	82090	70212	9856	24857	5675	101041	106	91	23926	545	96309	1478
"RNA polymerase II system"	1662	2671	697946	1536	13346	262352	18967	634647	749	245911	2285	207314	37167	48253	3222	55613	6584	52010	6283	420439	1169	63916	673125	196	209	120	183909	817	37931	14948	87839	28779	158144	6266	175319	4681	98859	8300	111	29014	30175	500	3592	6443	17382	485	11479	53131	574	391712	1333	59650	7050	310638	2655	215258	8874	298574	1122	883	1423	210553	491	38687	2543952	280	9653	122740	230	1135154	360	288809	55802	18973	130179	316	37001	1889	316	192845	6762	2556114	1115	5754	49098	27302	169196	29595	18002	80169	13196	296	2837	3819	11510	2478	111932	148	291	663	552359	1561	365946	15794	950	8329	3077136	1764	1517872	631	390	249	798	158468	11331	8314	776	9657	178071	235	31307	4288250	660	901598	900	171784	2137868	2374	699007	197	3274	1725812	522	1268	68501	466	156596	869151	1273617	39659	8642	103540	43019	3360	34598	65558	161966	21452626	15984	510520	9853	217	14477	581255	7733	6206	149505	227249	2258374	11096	20307	13721082	4937990	5184	569772	7459	6595	14118	31973	186208	8782	56320	160886	15082	347718	916731	29127	40815	425334	6787	165891	189267	95564	191997	8656	166436	276	276	70073	1344	194783	3443
"RNA polymerase III system"	455	1035	344897	82	3390	24872	12365	443609	151	41599	583	64483	9250	11200	419	22045	1658	17797	1771	170033	142	24047	249623	71	112	19	48995	276	16186	5675	20061	12523	62918	1995	61675	1978	22415	2194	27	13542	8761	144	650	3070	2414	64	3254	12894	147	119842	465	10722	4905	100364	304	22740	2311	109273	258	323	525	91643	87	18639	716788	531	5142	46728	86	197813	167	110229	18410	1326	20417	62	8158	287	191	100223	2814	1375944	158	2436	24026	1805	25880	7631	8105	32290	1129	99	2033	209	23028	506	17624	60	73	181	155315	707	115317	1761	111	1190	655603	1026	786569	49	118	109	214	44734	2033	857	195	3946	56923	49	16121	3396417	256	275046	249	91207	821450	376	169793	57	1377	881846	243	46	23114	99	56768	164725	556183	23627	2258	13182	11109	1631	17770	30717	32224	4694613	4327	53740	2103	23	584	69220	1110	2224	51207	69463	609836	5824	3075	2690881	3321348	3782	180971	1047	609	570	7937	42497	911	47750	31959	117	131963	341361	9339	28885	170098	1476	82320	68728	10181	19352	4412	80529	135	59	20790	657	75463	1257
"RNA transport"	997	2779	1231992	1233	17773	116098	45587	883661	1033	370831	2749	399561	43668	88054	2205	125491	11326	59721	15052	973237	1929	88045	746127	251	380	178	193054	724	87966	16677	46737	35283	273453	8095	357382	3275	533455	17375	180	26965	44241	2350	4298	6523	7764	260	9697	76437	462	919288	1469	66677	11248	978650	2664	289252	13506	376797	2226	1374	2011	504515	1033	41071	4394190	684	19083	247368	372	3364008	1439	316359	80835	11555	329148	451	108007	3009	452	539787	9211	3525008	894	6227	95718	15496	195981	63427	41703	287924	8944	809	4873	30752	18328	3013	359381	217	1320	1009	770614	754	813137	116658	11354	12277	4174021	1525	2589549	359	566	422	1813	286140	77977	8248	3569	16244	283002	297	44352	7674252	2851	1958545	5113	309244	3859157	5416	1155304	663	5564	5843324	2881	427	114698	736	248321	1395405	1559676	31873	10139	123375	79191	7563	25963	70796	241181	38678966	38870	407619	48334	501	10527	585450	3106	6303	343742	374621	3920001	9647	39518	20618767	16475772	8580	650709	6706	2541	62504	80334	327584	61382	17522	235168	1393	379741	1699480	54669	83037	755403	18751	283396	222156	320949	131326	11673	328530	666	827	110555	2037	419550	5457
"RpfC-RpfG (cell-to-cell signaling)"	0	0	0	0	0	0	0	0	2	0	2	0	0	70	15	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12055	205	0	2	0	0	0	0	0	0	40	4	0	0	0	1641	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	672	9	0	0	0	1	0	0	0	0	3	0	42	52	0	53	32	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	18	1492	0	0	1	0	0	0	0	0	0	0	0	0	0	1	557	12	0	0	0	0	0	2	0	0	4	0	78	9	2892	0	0	0	0	0	2	0	4	27	1104	162	22	31	1	0	1	0	0	0	0	2	0	0	0	73	2	0	511	0	1	0	2	139	100	2191	0	2	0	8	0	96	0	0	0
"rRNA helicases"	20	452	148647	4	8569	7	21337	237079	148	101993	63	1144	2763	4254	164	1020	110	117	1089	115706	129	11202	121632	51	56	14	1345	31	350	137	11	17084	34882	90	9445	303	628	99	29	3398	3970	110	292	81	41	14	116	1543	147	141019	120	161	1462	104729	174	2719	1418	49654	109	118	347	59966	50	1269	486047	191	51	374	21	179259	503	1092	1501	163	41758	45	326	221	156	103024	1640	805296	46	73	12	14	2199	5611	4021	20357	26	51	35	131	59	216	1458	17	39	71	93699	52	146970	167	71	64	7136	207	473256	8	32	43	203	19988	365	12	13	8	261	73	14908	2468450	101	312715	53	257046	1722218	561	161254	12	1098	1129251	4	34	8237	15	469	5311	2389049	2051	68	1062	42	1813	2131	14	18	4909367	11	527206	41	5	5	472	15	12204	61647	14624	211981	785	321	3335383	1219296	3313	183843	134	506	32	3510	16746	562	16	5244	41	2438	4229	1299	533	16441	22	19375	7078	4260	17	2298	29993	55	49	9896	557	108646	179
"rRNA modification factors"	581	2428	328578	1501	10647	282024	25572	282393	818	118072	1662	154846	17416	29125	1095	116488	2158	38492	4021	167953	380	16943	256719	121	246	53	120353	1194	38366	3468	13404	17295	113597	2135	108906	4051	56262	3921	117	7265	11016	888	9737	3150	30948	171	4659	16391	283	162168	735	15424	2114	105314	2800	372878	4303	75818	377	462	2233	145782	1369	8432	853300	366	5428	98685	152	341851	1790	97581	21542	22813	264992	169	41612	1680	394	150843	2677	1500392	1301	918	17955	21330	327794	8347	10199	73551	25892	186	479	5674	4880	1659	695435	85	202	195	186015	349	200741	69895	4550	5009	993624	602	723128	895	177	218	370	161685	12269	9581	892	4299	124898	281	15382	1907751	1534	810383	1126	146379	1845424	2391	172436	275	2313	997627	485	450	284873	207	44915	260258	920578	9603	28939	34619	10254	5077	21369	12086	26202	4548573	24608	463422	166246	578	33700	2209490	12430	5990	91231	393529	3762907	2660	32278	4796355	1822740	6574	1541377	18477	11924	19623	18430	50152	18468	3859	59375	1523	68989	509422	28590	39082	1201094	2975	75670	66022	161242	172529	5931	102284	344	282	41599	1400	155502	2422
"rRNA processing factors"	17	211	44544	752	2006	92869	1378	46224	17	20058	419	915	2312	3488	92	102	870	4530	566	10533	135	4160	31086	16	16	2	9093	48	813	199	45	1614	15414	313	11858	805	3836	182	8	988	742	192	352	310	7070	2	96	553	6	33604	77	22280	174	11713	744	58481	294	11928	43	46	216	20940	54	582	124282	20	214	5054	44	19673	47	3460	1925	4069	20206	14	1320	71	61	9903	318	185983	198	103	1070	9975	33896	784	737	2748	2977	19	2	268	2657	312	2450	13	22	7	15704	49	15525	80	20	375	126906	69	82225	342	31	68	69	10200	1849	2951	175	99	2062	25	2290	225483	29	75519	116	10606	235837	77	12441	8	596	165065	60	5	5016	28	495	6994	128548	381	938	4245	16	184	2673	46	271	740987	247	16532	3019	26	1916	138548	272	524	11910	16177	106394	520	749	819977	272010	140	202463	291	1152	546	2366	4263	37	709	4071	10	1073	3925	2672	14	18591	201	2844	2690	4004	25603	34	11483	13	7	3648	65	28613	242
"rRNA transcription factors"	40	60	2029	4	18	2755	4	4	22	1780	35	19272	1553	1870	57	4076	128	670	137	8376	6	16	2341	2	4	0	4745	6	5165	181	632	299	1040	177	5303	116	17150	878	0	744	1600	5	28	631	280	3	64	1281	1	1123	145	1684	360	1488	81	3426	10	220	9	5	45	241	0	2	8136	6	366	5430	1	132	24	4579	1301	155	1756	3	7802	19	4	6774	8	1252	7	78	6032	393	3594	74	645	2828	248	0	18	2	80	16	19803	2	26	46	5786	19	192	93	9	0	16	6	466	47	16	2	3	273	279	186	115	464	12805	3	166	1921	5	92	10	39	145	30	229	32	2	8	6	1	1307	3	8763	77427	1596	2245	12	64	525	23	682	1080	236	33363	376	5	4	143	1169	8268	22	107	2054	1707	13682	224	1425	16687	222	9	2744	75	412	5	31	11972	29	1084	16825	4	11151	157970	3294	960	18984	310	622	5004	178	2561	427	319	6	10	874	5	567	13
"RSK family"	0	0	0	0	2	9	0	0	0	0	0	0	30	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0
"RstB-RstA"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	29	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	45	6	11	0	0	0	0	0	4	2	0	0	1899	0	0	0	0	0	0	12	0	1	0	1	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	55	49	0	0	0	2	0	0	2	17	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
"RTX toxin transporter"	402	444	109557	977	5816	226	26739	139736	278	243643	1743	125727	18649	74511	319	94447	5445	40866	6594	225893	716	57535	200501	139	137	72	108040	170	44480	7344	28147	8814	77782	5985	145497	702	472933	17952	98	17788	27926	2193	1000	1959	104	103	4356	42007	145	306364	450	10573	2233	384667	367	6705	4992	510396	1704	557	767	99330	649	18886	1950615	277	13604	223070	95	868407	520	99786	58569	337	356739	284	102905	681	103	83709	1780	760507	170	5208	50672	4092	44296	22294	11942	202174	140	196	2183	19602	2299	976	77440	104	593	864	312235	361	381316	131472	9408	12831	4891740	368	828661	732	534	130	731	226877	51533	4103	3548	10965	155892	165	11470	1942784	2612	1020116	2934	75560	1511054	2705	444537	1001	533	2459627	1830	339	33851	124	130742	651463	268082	14639	646	46035	32459	2064	6953	33688	120565	32407439	3573	25334	34170	49	2675	188504	2346	758	136541	106396	1065510	8703	31398	5377568	5862974	1051	162464	532	527	36882	63662	293816	63376	5498	128819	2682	135565	727636	34582	145585	402162	17515	243938	131107	387608	101791	3786	106549	496	382	80462	781	169093	5145
"S particles"	1017	2501	1084378	286	16440	62560	26163	818114	444	272348	932	129526	25882	47857	2098	28134	7712	28420	5051	441126	664	43026	468317	163	297	71	84850	311	15315	9561	25700	27823	180877	3809	190573	2014	48832	5562	98	30570	33876	1270	1792	3231	5871	97	5878	39299	583	502349	738	40103	4176	565523	1611	142033	4901	255976	1456	558	1200	299066	298	23628	2470149	819	10191	161478	135	1085680	1000	182170	69233	7805	88125	159	5887	1110	514	253335	5805	2741516	600	2786	33908	10781	102333	16381	26848	94272	4378	224	663	6072	8145	1509	140344	281	322	967	562013	566	645849	2910	362	5206	2253086	894	1393186	243	281	230	843	148905	12004	6321	512	8869	176044	209	37444	7318351	557	1583597	917	156710	2535154	1301	378842	143	4874	4063781	305	292	51870	225	107079	804877	1670369	54919	4130	147456	20397	2576	23425	37782	197328	26038691	21168	392047	3705	644	3346	325794	3340	4810	237815	152127	1914325	9051	12978	8576988	4013228	6189	526228	5264	866	47476	89545	203061	1025	21164	94252	5574	178278	625723	22907	19232	344896	5421	71515	95303	31078	97456	11048	306356	245	254	57131	2039	241491	1560
"S-Layer protein transporter"	0	17	4806	0	2	7	0	0	0	1	0	0	9	95	0	0	0	8	0	19	0	1	0	0	0	0	0	0	1	0	0	0	0	0	24	0	517	24	0	104	14	0	235	0	4	0	0	0	1	11	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	11	2	0	0	0	0	1	0	0	0	3	1	0	3	21	276	14	19	6	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	1	0	0	0	0	8	0	2	0	0	23	1907	0	0	0	0	0	0	0	2	0	0	0	10	0	20	44	0	0	1	1	31	0	3	0	0	4	67	0	225	0	0	0	0	0	207	0	0	0	0	8	6	2	0	14	0	4	0	2	0	0	0	0	3	13
